name,imo,mmsi,callsign,flag_detected,flag_iso_code,categories,watch_priority,sanctioned,shadow_fleet,false_flag,from_russia_confirmed,recent_russian_portcall_confirmed_10d,recent_russian_portcall_unconfirmed_10d,recent_ru_portcall_confidence,recent_ru_portcall_basis,destination,latitude,longitude,sog,cog,observed_at,position_timestamp_basis,source,source_list,source_url,notes
ETHERA,9387279,632001149,3X2122,Guinea,GN,"[""false_flag_watch"",""falseflag_interest"",""sanctions_shadowfleet"",""watchlist""]",high,True,True,True,False,False,False,,,FOR ORDERS,51.33897,3.1956149999999997,0.0,316.9,2026-07-29T04:43:24.446559+00:00,source_timestamp,AISStream,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel; EU application date 24-10-2025
FESCO NAVARIN,9296999,273343170,UBSL9,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,RU KGD,59.597975,23.192868,11.4,252.5,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
FLANDRIA,8414477,273350220,UBBH2,,,"[""russian_mmsi"",""sanctions_shadowfleet"",""watchlist""]",high,True,True,False,False,False,False,declared_destination_only,,RUKGD,58.962333,21.48695,9.7,199.0,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel; EU application date 24-10-2025
FORPOST,9039767,273355780,UBNJ3,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,NORWEGIAN SEA,76.558752,14.447153,4.0,93.0,2026-07-29T05:30:47+00:00,source_timestamp,BarentsWatch / Norwegian Coastal Administration,,,
FRIO NEREUS,,273254830,,,,"[""russian_mmsi""]",,False,False,False,False,False,False,,,,59.86798666666667,30.222696666666664,0.0,30.0,2026-07-29T04:22:59.381073+00:00,source_timestamp,AISStream,,,
FURIA,9257802,667001248,9LU2051,Sierra Leone,SL,"[""sanctions_shadowfleet"",""watchlist""]",high,True,True,False,False,False,False,declared_destination_only,,RUULU,59.817745,28.404583,2.7,349.1,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel; EU application date 24-10-2025
G ROSSINI,9156981,273217520,UBHT7,,,"[""russian_mmsi"",""sanctions_shadowfleet"",""watchlist""]",high,True,True,False,False,False,False,,,RU  KLD,59.640353,23.535858,9.9,251.9,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel; EU application date 24-07-2026; Council Regulation (EU) 2026/1848 (21st package)
GELIOTROP,9323986,273129320,UAKG2,,,"[""russian_mmsi"",""sanctions_shadowfleet"",""watchlist""]",high,True,True,False,False,False,False,declared_destination_only,,RULED,60.099875,29.338348,0.3,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,EU_Annex_XLII,https://www.dma.dk/growth-and-framework-conditions/maritime-sanctions/sanctions-against-russia-and-belarus/eu-vessel-designations,EU designated vessel
GEN. CHERNYAKHOVSKY,9878929,273298390,UBZW5,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,RU KGD <=> RU ULU,59.573915,22.903638,10.9,253.9,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
GESPER,8409305,273429690,UBFR2,,,"[""russian_mmsi""]",,False,False,False,False,False,False,declared_destination_only,,UST LUGA,59.81766,28.404137,,,2026-07-29T05:30:55+00:00,retrieval_time_fallback,Fintraffic Digitraffic,,,
